formid;name;werkjahr;jahrgang;titel;art;descr;web;dauer;rechte;lizenz;img1;img2;img3
6;"Sandra  Knecht";2014;(1968);Sirocco;Kunstvideo;"​



Sirocco ist der zweite Film einer Serie zu Heimat und Identität. Er wurde mit 8mm gedreht und danach digitalisiert. Heimat ist in diesem Fall auch die Frage nach der Geschlechteridentität und der Sehnsucht nach den Traditionen und der Kultur aus der man stammt.";sandraknecht.ch;10:30;hgk;cc-by;cat/006.00008.med.png;cat/006.00015.med.png;cat/006.00022.med.png
7;"Simon  Krebs";2017;(1984);"Alta Clotura";Musikclip;"Alta Clotura ist ein Lied über eine Reise über das Meer.";"www.simonkrebs.ch   /   https://www.youtube.com/watch?v=3E45tvEpBrY";4:48;internet;cc-by-nc;cat/007.00008.med.png;cat/007.00015.med.png;cat/007.00022.med.png
8;"Simon  Krebs";2016;(1984);"Zecchino d'Oro";Musikclip;"Zecchino d'Oro ist in Kinder-Sing-Wettbewerb, der seit 1959 jährlich vom italienischen Sender Rai Uno produzier und ausgestrahlt wird. Das Lied von Mister Milano handelt von den Träumen der Kinder und der Eltern, während das Video, bestehend aus Found Footage und Animation, die Zeit kontextualisiert.";"www.simonkrebs.ch   /   https://www.youtube.com/watch?v=tCMMMyOh7JA";6:12;internet;cc-by-nc;cat/008.00008.med.png;cat/008.00015.med.png;cat/008.00022.med.png
9;"Pascale  Grau";2016;(1960);"Rehearsal Thai Lakorn";Kunstvideo;"Das Video ""Rehearsal Thai Lakorn"" zeigt eine Probe zu einem thailändischen Tableau Vivant vor der Hintergrundmusik (Soundtrack) der allgegenwärtigen TV-Soaps (Thai Lakorn). Der Ton ist konstituierender Teil der Arbeit. Das Video verweist auf das Spannungsfeld zwischen Kunst und Kommerz.";www.pascalegrau@ch;1:26;hochschulnetz;cc-by;cat/009.00009.med.png;cat/009.00017.med.png;cat/009.00025.med.png
10;"Thomas Georg  Blank";2017;(1990);"veo mis huesos";Kunstvideo;"Die Geschichte eines Musikers, der seine Knochen im Spiel sieht. Ein musikalisches Portrait über Mexiko-Stadt. Ein Dokument improvisierter Musik. Der Film entstand im Rahmen eines halbjährigen Aufenthalts in einer der monströsesten Städte der Welt und ist Hymne und Abschied für einen wunderbaren Ort künstlerischer Freiheit.";info@thomasgeorgblank.de;16:57;hochschulnetz;cc-by;cat/010.00008.med.png;cat/010.00015.med.png;cat/010.00022.med.png
11;"Sabina  Stucky";2015;(1961);Lötschberg;"Handy Video";"Fixe Einstellung auf See, erst Hornen, dann Stille, dann Geräusch, das immer lauter wird, bis ...";sabinastucky.ch;1:28;internet;cc-by;cat/011.00008.med.png;cat/011.00015.med.png;cat/011.00022.med.png
12;"Fabian  Matz";2017;(1986);"shaped bodies (sand) – making of";Dokumentation/Dokumentarfilm;"Als unendlich grosser Sandkasten erscheint der Kniepsand auf der Nordseeinsel Amrum und lädt dazu ein mit dem feinen hellen Sand zu spielen. Dieser Ort hat auch mich dazu eingeladen mit dem Sand zu spielen: Ein bizarres Spiel. Mit dem reichlich vorhandenen Sand, entstand in dieser unendlichen und fast menschenleeren Weite eine ortsspezifische und temporäre Arbeit. In meiner künstlerischen und materiellen Auseinandersetzung mit Feinstrumpfhosen, interessieren mich die Transformationen dieses Industrieproduktes zu abstrakten Körpern und Körperhüllen. In dieser spielerischen Arbeit ging es mir darum, visuell und haptisch zu erfahren, wie sich die Formen der Polyamid-Strumpfhosen verändert und die Dehnung des Gewebes verhaltet. Der mit dem Wind verwehte Sand, hat sich an die Körper angeschmiegt und dabei auf der einen, wie auf der anderen Seite strukturelle Veränderungen der Sandoberfläche sichtbar gemacht.";www.fabianmatz.com;10min;internet;cc-by;cat/012.00008.med.png;cat/012.00015.med.png;cat/012.00022.med.png
13;"Birgit  Kempker / Sarah Elena Müller";2017;(1956);"Ab ins Zwischenwesen";Kunstvideo;"Ab ins Zwischenwesen 

Der Zauber wird zurückgerufen. Zunächst schien er verloren. Experimentelle Untersuchungen mit der Kamera in Stadt, Land und in Elternhäusern befragen diesen Verlust. Psychologische Testreihen, Umkehrungen, Aufstellungen und Neubesetzungen werden umgenutzt. 
 „ Der Zauber hat sich in den Wald geschlichen. Von da an nur noch Nützlichkeit.“ 
Unter dem Dach des Klosters Magdenau, zusammen mit Schwester Maria Veronika und dem Goldenen, - eine Art Zwischenwesen, zeigt er sich während des Schneidens, Filmens, Sprechens im Raum. Unter einer Zierdecke wird über das Denken, Glaubensinhalte, Bedeutung und Wahrnehmung Gericht gehalten. Dabei verwirbeln mit Flicker, Tumult, Rückkoppelung und Stock des Grossvaters einige Möbel und Voreinstellungen: 
„ Solcherart geschwächt sollte dir dein Verstand nicht länger im Weg sein.“ 
„ Sorget euch nicht“, pfeift die Ente.";"www.xcult.org  und  http://cargocollective.com/sarahelenamuller";19:01;internet;cc-by;cat/013.00008.med.png;cat/013.00015.med.png;cat/013.00022.med.png
14;"Dirk  Koy";2017;(1977);"Escape Route";Animation;"A 360° trip through photogrammed city pieces of Basel.
Animation: Dirk Koy, www.dirkkoy.com
Music: Boris Blank, www.yello.com";www.dirkkoy.com;2:50;hochschulnetz;cc-by;cat/014.00008.med.png;cat/014.00015.med.png;cat/014.00022.med.png
15;"Dirk  Koy";2017;(1977);"The Ugly Sweet";Kunstvideo;"Eine Wechselwirkung von Gegenständlichkeit und Abstraktion,
Anziehung und Abstossung.";www.dirkkoy.com;3:02;hochschulnetz;cc-by;cat/015.00009.med.png;cat/015.00017.med.png;cat/015.00025.med.png
